,ocean_price
0,0.11532922795137465
1,0.06390123264089335
2,0.14760864500528595
3,0.4529466143697125
4,0.10736569874168776
5,1.2238275232153957
6,1.0640204692893707
7,2.553942944901251
8,0.391457136001253
9,0.46657637214863706
10,1.1344277147875927
11,0.10657407830457342
12,0.2769771385245257
13,0.07722873258698748
14,0.12404306742547504
15,0.12373978529691201
16,0.2046223313052738
17,0.15223786321186442
18,1.2376391363208874
19,0.32884549573265803
20,0.4259578752706178
21,0.2779930177816099
22,1.7423365117060696
23,0.9576869573746186
24,1.7709492369552697
25,0.6750663279536131
26,0.1350860447056731
27,0.16987597284838704
28,0.42586746735899816
29,0.3864057380843443
30,0.28732848277983364
31,0.6384931316583373
32,0.23774903543177403
33,0.7593688974402069
34,0.20081197235153062
35,0.30061651184852706
36,0.9511576496483801
37,0.2512738725312752
38,0.14025543279255095
39,0.39315900736096887
40,0.44878785922120085
41,0.6170405170709128
42,0.7021306132144995
43,0.22095408360262667
44,0.7393338608838158
45,0.9734071157802697
46,0.34942898054825583
47,0.18013991189192505
48,0.6937189890920176
49,1.1762730475955776
50,0.12975980882020305
51,0.37812302231769834
52,0.3728604503060317
53,0.23122152128111934
54,0.19926675486037848
55,1.1205539000833278
56,0.2257313988331561
57,0.44712048404487964
58,0.29318227793863066
59,0.15573434063996955
60,1.087144996589382
61,0.825587557011405
62,0.236693540062291
63,0.5735958599972709
64,0.7017239979618268
65,0.23704088042062857
66,0.24848159478153026
67,0.002217254653807046
68,0.49055872119273386
69,1.963838174777183
70,0.5132794783555448
71,0.16667579647375957
72,0.29056268141390545
73,0.4586764239969335
74,0.4981402500229328
75,0.2997165673937628
76,0.1868170859517217
77,0.1868791569283579
78,0.16047791089179744
79,0.13524089114764148
80,1.9290165063153195
81,0.260395774107673
82,0.49389698154787864
83,0.18960450228826256
84,0.07006285923882359
85,0.5741134301444111
86,0.07965763910518918
87,0.5678026710614963
88,0.014141494779006114
89,1.4029610807635522
90,0.6390971249925248
91,0.8353356795099413
92,0.4328386001822825
93,0.021611086654770927
94,0.9905600582219067
95,0.05884842834637771
96,0.41190132117709966
97,0.32414968566012997
98,0.3628826776411529
99,0.6443834798910865
100,1.4940735074889118
101,0.5235735715656438
102,0.2637895361334027
103,0.9735621333964732
104,0.5277448754869762
105,0.10301856779058009
106,0.09157495633401781
107,0.19347170191472307
108,0.12987361419446675
109,0.9060506933175225
110,0.1227582670476019
111,0.4137352796267535
112,0.17215466455701467
113,0.12151839947490321
114,0.0969515682940015
115,1.282984681442435
116,1.1338805494385509
117,0.3538472919234651
118,0.8855252894482488
119,0.4571010719743839
120,0.11717516395090334
121,0.5026262315412421
122,0.04650531208364235
123,0.727080529173974
124,0.4454900579675245
125,0.9035478848344807
126,0.191405195386323
127,0.20725696779643218
128,0.9519353928558235
129,0.08366430451240539
130,0.43538335581376153
131,0.46878618034442965
132,1.182509859285312
133,0.6781848430125783
134,0.5330773784723449
135,0.14828166984754423
136,0.13662378073793233
137,0.24420091767673352
138,0.2122598038237821
139,0.15692951163986113
140,0.10562310086142115
141,0.09562654126565469
142,0.3880829721353592
143,0.9717666043622117
144,0.11029612859150074
145,0.28009994006350963
146,0.10286301608385941
147,0.21746281646358195
148,0.06617047012300889
